user_id,tenant_label,cleanliness_level,noise_tolerance,sleep_schedule,routine_structure,WFH_frequency,sociability_level,guest_tolerance,privacy_need,conflict_style,shared_spaces_usage
1,Tenant_001,4,5,3,3,2,4,3,3,4,1
2,Tenant_002,5,5,4,1,4,2,4,4,4,4
3,Tenant_003,3,1,5,5,3,4,2,2,2,2
4,Tenant_004,5,5,4,4,1,3,4,4,2,3
5,Tenant_005,5,3,3,4,3,1,5,2,2,4
6,Tenant_006,2,4,3,2,5,4,2,3,4,4
7,Tenant_007,3,1,4,5,4,1,3,3,1,1
8,Tenant_008,3,4,1,3,3,2,3,4,1,3
9,Tenant_009,3,5,2,1,2,1,2,5,2,2
10,Tenant_010,5,5,1,2,5,2,1,4,5,4
11,Tenant_011,4,1,1,4,5,3,2,2,1,4
12,Tenant_012,3,3,1,3,3,2,5,4,4,1
13,Tenant_013,5,2,5,3,3,2,1,1,3,5
14,Tenant_014,2,1,3,1,4,5,3,2,3,2
15,Tenant_015,4,2,1,4,1,4,2,2,3,3
16,Tenant_016,2,2,3,5,3,4,4,5,5,4
17,Tenant_017,4,3,4,3,3,3,4,3,2,4
18,Tenant_018,5,2,2,1,2,3,5,2,4,2
19,Tenant_019,1,2,4,5,5,4,4,3,5,5
20,Tenant_020,4,3,4,4,1,5,2,4,4,4
21,Tenant_021,2,2,5,3,2,4,2,1,4,2
22,Tenant_022,5,2,2,5,4,5,4,5,2,1
23,Tenant_023,4,2,4,5,4,3,2,3,3,5
24,Tenant_024,1,1,4,5,3,1,5,2,2,3
25,Tenant_025,1,1,2,3,3,3,1,3,5,4
26,Tenant_026,3,1,2,3,4,3,5,2,5,2
27,Tenant_027,3,3,4,2,3,2,5,3,5,1
28,Tenant_028,2,5,2,4,1,2,2,2,2,3
29,Tenant_029,4,2,4,1,3,2,1,4,4,2
30,Tenant_030,4,2,4,5,5,2,2,2,4,2
31,Tenant_031,3,3,5,2,3,5,3,2,1,3
32,Tenant_032,4,2,1,1,2,4,2,1,5,1
33,Tenant_033,4,1,4,2,1,1,2,2,4,1
34,Tenant_034,1,5,3,3,2,3,2,1,1,5
