user_id,tenant_label,match_rank,match_user_id,match_tenant_label,compatibility_score,top_drivers,explanation_short,explanation_long,top_driver_values
1,Tenant_001,1,223,Tenant_223,84.52,"sleep_schedule(mode=similarity, score=1.00, w=1.20); sociability_level(mode=complementarity, score=1.00, w=1.00); guest_tolerance(mode=similarity, score=1.00, w=1.00)","High compatibility driven by Sleep schedule, Sociability level, Guest tolerance.","Tenant_001 matches well with Tenant_223 (score 84.52%). Top drivers: Sleep schedule, Sociability level, Guest tolerance. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","sleep_schedule: 1 vs 1 (similarity, 1.00) | sociability_level: 1 vs 5 (complementarity, 1.00) | guest_tolerance: 4 vs 4 (similarity, 1.00)"
1,Tenant_001,2,180,Tenant_180,83.57,"cleanliness_level(mode=similarity, score=1.00, w=1.30); privacy_need(mode=similarity, score=1.00, w=1.10); sociability_level(mode=complementarity, score=1.00, w=1.00)","High compatibility driven by Cleanliness level, Privacy need, Sociability level.","Tenant_001 matches well with Tenant_180 (score 83.57%). Top drivers: Cleanliness level, Privacy need, Sociability level. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 4 vs 4 (similarity, 1.00) | privacy_need: 1 vs 1 (similarity, 1.00) | sociability_level: 1 vs 5 (complementarity, 1.00)"
1,Tenant_001,3,60,Tenant_060,81.19,"noise_tolerance(mode=similarity, score=1.00, w=1.30); sleep_schedule(mode=similarity, score=1.00, w=1.20); guest_tolerance(mode=similarity, score=1.00, w=1.00)","High compatibility driven by Noise tolerance, Sleep schedule, Guest tolerance.","Tenant_001 matches well with Tenant_060 (score 81.19%). Top drivers: Noise tolerance, Sleep schedule, Guest tolerance. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","noise_tolerance: 3 vs 3 (similarity, 1.00) | sleep_schedule: 1 vs 1 (similarity, 1.00) | guest_tolerance: 4 vs 4 (similarity, 1.00)"
1,Tenant_001,4,19,Tenant_019,80.71,"sleep_schedule(mode=similarity, score=1.00, w=1.20); privacy_need(mode=similarity, score=1.00, w=1.10); sociability_level(mode=complementarity, score=1.00, w=1.00)","High compatibility driven by Sleep schedule, Privacy need, Sociability level.","Tenant_001 matches well with Tenant_019 (score 80.71%). Top drivers: Sleep schedule, Privacy need, Sociability level. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","sleep_schedule: 1 vs 1 (similarity, 1.00) | privacy_need: 1 vs 1 (similarity, 1.00) | sociability_level: 1 vs 5 (complementarity, 1.00)"
1,Tenant_001,5,26,Tenant_026,80.0,"cleanliness_level(mode=similarity, score=1.00, w=1.30); noise_tolerance(mode=similarity, score=1.00, w=1.30); privacy_need(mode=similarity, score=1.00, w=1.10)","High compatibility driven by Cleanliness level, Noise tolerance, Privacy need.","Tenant_001 matches well with Tenant_026 (score 80.00%). Top drivers: Cleanliness level, Noise tolerance, Privacy need. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 4 vs 4 (similarity, 1.00) | noise_tolerance: 3 vs 3 (similarity, 1.00) | privacy_need: 1 vs 1 (similarity, 1.00)"
2,Tenant_002,1,132,Tenant_132,87.14,"cleanliness_level(mode=similarity, score=1.00, w=1.30); noise_tolerance(mode=similarity, score=1.00, w=1.30); privacy_need(mode=similarity, score=1.00, w=1.10)","High compatibility driven by Cleanliness level, Noise tolerance, Privacy need.","Tenant_002 matches well with Tenant_132 (score 87.14%). Top drivers: Cleanliness level, Noise tolerance, Privacy need. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 5 vs 5 (similarity, 1.00) | noise_tolerance: 5 vs 5 (similarity, 1.00) | privacy_need: 4 vs 4 (similarity, 1.00)"
2,Tenant_002,2,11,Tenant_011,86.9,"cleanliness_level(mode=similarity, score=1.00, w=1.30); sleep_schedule(mode=similarity, score=1.00, w=1.20); privacy_need(mode=similarity, score=1.00, w=1.10)","High compatibility driven by Cleanliness level, Sleep schedule, Privacy need.","Tenant_002 matches well with Tenant_011 (score 86.90%). Top drivers: Cleanliness level, Sleep schedule, Privacy need. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 5 vs 5 (similarity, 1.00) | sleep_schedule: 4 vs 4 (similarity, 1.00) | privacy_need: 4 vs 4 (similarity, 1.00)"
2,Tenant_002,3,79,Tenant_079,85.95,"cleanliness_level(mode=similarity, score=1.00, w=1.30); noise_tolerance(mode=similarity, score=1.00, w=1.30); sleep_schedule(mode=similarity, score=1.00, w=1.20)","High compatibility driven by Cleanliness level, Noise tolerance, Sleep schedule.","Tenant_002 matches well with Tenant_079 (score 85.95%). Top drivers: Cleanliness level, Noise tolerance, Sleep schedule. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 5 vs 5 (similarity, 1.00) | noise_tolerance: 5 vs 5 (similarity, 1.00) | sleep_schedule: 4 vs 4 (similarity, 1.00)"
2,Tenant_002,4,111,Tenant_111,85.71,"cleanliness_level(mode=similarity, score=1.00, w=1.30); noise_tolerance(mode=similarity, score=1.00, w=1.30); routine_structure(mode=similarity, score=1.00, w=1.00)","High compatibility driven by Cleanliness level, Noise tolerance, Routine structure.","Tenant_002 matches well with Tenant_111 (score 85.71%). Top drivers: Cleanliness level, Noise tolerance, Routine structure. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 5 vs 5 (similarity, 1.00) | noise_tolerance: 5 vs 5 (similarity, 1.00) | routine_structure: 5 vs 5 (similarity, 1.00)"
2,Tenant_002,5,214,Tenant_214,84.05,"noise_tolerance(mode=similarity, score=1.00, w=1.30); sleep_schedule(mode=similarity, score=1.00, w=1.20); routine_structure(mode=similarity, score=1.00, w=1.00)","High compatibility driven by Noise tolerance, Sleep schedule, Routine structure.","Tenant_002 matches well with Tenant_214 (score 84.05%). Top drivers: Noise tolerance, Sleep schedule, Routine structure. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","noise_tolerance: 5 vs 5 (similarity, 1.00) | sleep_schedule: 4 vs 4 (similarity, 1.00) | routine_structure: 5 vs 5 (similarity, 1.00)"
3,Tenant_003,1,11,Tenant_011,80.95,"cleanliness_level(mode=similarity, score=1.00, w=1.30); noise_tolerance(mode=similarity, score=1.00, w=1.30); sleep_schedule(mode=similarity, score=1.00, w=1.20)","High compatibility driven by Cleanliness level, Noise tolerance, Sleep schedule.","Tenant_003 matches well with Tenant_011 (score 80.95%). Top drivers: Cleanliness level, Noise tolerance, Sleep schedule. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 5 vs 5 (similarity, 1.00) | noise_tolerance: 4 vs 4 (similarity, 1.00) | sleep_schedule: 4 vs 4 (similarity, 1.00)"
3,Tenant_003,2,16,Tenant_016,80.0,"cleanliness_level(mode=similarity, score=1.00, w=1.30); sleep_schedule(mode=similarity, score=1.00, w=1.20); privacy_need(mode=similarity, score=1.00, w=1.10)","High compatibility driven by Cleanliness level, Sleep schedule, Privacy need.","Tenant_003 matches well with Tenant_016 (score 80.00%). Top drivers: Cleanliness level, Sleep schedule, Privacy need. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 5 vs 5 (similarity, 1.00) | sleep_schedule: 4 vs 4 (similarity, 1.00) | privacy_need: 1 vs 1 (similarity, 1.00)"
3,Tenant_003,3,1,Tenant_001,79.05,"privacy_need(mode=similarity, score=1.00, w=1.10); routine_structure(mode=similarity, score=1.00, w=1.00); sociability_level(mode=complementarity, score=1.00, w=1.00)","High compatibility driven by Privacy need, Routine structure, Sociability level.","Tenant_003 matches well with Tenant_001 (score 79.05%). Top drivers: Privacy need, Routine structure, Sociability level. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","privacy_need: 1 vs 1 (similarity, 1.00) | routine_structure: 4 vs 4 (similarity, 1.00) | sociability_level: 5 vs 1 (complementarity, 1.00)"
3,Tenant_003,4,107,Tenant_107,78.33,"sleep_schedule(mode=similarity, score=1.00, w=1.20); guest_tolerance(mode=similarity, score=1.00, w=1.00); cleanliness_level(mode=similarity, score=0.75, w=1.30)","High compatibility driven by Sleep schedule, Guest tolerance, Cleanliness level.","Tenant_003 matches well with Tenant_107 (score 78.33%). Top drivers: Sleep schedule, Guest tolerance, Cleanliness level. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","sleep_schedule: 4 vs 4 (similarity, 1.00) | guest_tolerance: 4 vs 4 (similarity, 1.00) | cleanliness_level: 5 vs 4 (similarity, 0.75)"
3,Tenant_003,5,251,Tenant_251,78.33,"sleep_schedule(mode=similarity, score=1.00, w=1.20); routine_structure(mode=similarity, score=1.00, w=1.00); conflict_style(mode=similarity, score=1.00, w=0.90)","High compatibility driven by Sleep schedule, Routine structure, Conflict style.","Tenant_003 matches well with Tenant_251 (score 78.33%). Top drivers: Sleep schedule, Routine structure, Conflict style. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","sleep_schedule: 4 vs 4 (similarity, 1.00) | routine_structure: 4 vs 4 (similarity, 1.00) | conflict_style: 5 vs 5 (similarity, 1.00)"
4,Tenant_004,1,99,Tenant_099,85.24,"noise_tolerance(mode=similarity, score=1.00, w=1.30); sleep_schedule(mode=similarity, score=1.00, w=1.20); privacy_need(mode=similarity, score=1.00, w=1.10)","High compatibility driven by Noise tolerance, Sleep schedule, Privacy need.","Tenant_004 matches well with Tenant_099 (score 85.24%). Top drivers: Noise tolerance, Sleep schedule, Privacy need. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","noise_tolerance: 4 vs 4 (similarity, 1.00) | sleep_schedule: 4 vs 4 (similarity, 1.00) | privacy_need: 5 vs 5 (similarity, 1.00)"
4,Tenant_004,2,232,Tenant_232,84.76,"noise_tolerance(mode=similarity, score=1.00, w=1.30); sleep_schedule(mode=similarity, score=1.00, w=1.20); guest_tolerance(mode=similarity, score=1.00, w=1.00)","High compatibility driven by Noise tolerance, Sleep schedule, Guest tolerance.","Tenant_004 matches well with Tenant_232 (score 84.76%). Top drivers: Noise tolerance, Sleep schedule, Guest tolerance. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","noise_tolerance: 4 vs 4 (similarity, 1.00) | sleep_schedule: 4 vs 4 (similarity, 1.00) | guest_tolerance: 3 vs 3 (similarity, 1.00)"
4,Tenant_004,3,138,Tenant_138,81.9,"cleanliness_level(mode=similarity, score=1.00, w=1.30); privacy_need(mode=similarity, score=1.00, w=1.10); routine_structure(mode=similarity, score=1.00, w=1.00)","High compatibility driven by Cleanliness level, Privacy need, Routine structure.","Tenant_004 matches well with Tenant_138 (score 81.90%). Top drivers: Cleanliness level, Privacy need, Routine structure. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 1 vs 1 (similarity, 1.00) | privacy_need: 5 vs 5 (similarity, 1.00) | routine_structure: 2 vs 2 (similarity, 1.00)"
4,Tenant_004,4,258,Tenant_258,81.9,"cleanliness_level(mode=similarity, score=1.00, w=1.30); privacy_need(mode=similarity, score=1.00, w=1.10); routine_structure(mode=similarity, score=1.00, w=1.00)","High compatibility driven by Cleanliness level, Privacy need, Routine structure.","Tenant_004 matches well with Tenant_258 (score 81.90%). Top drivers: Cleanliness level, Privacy need, Routine structure. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 1 vs 1 (similarity, 1.00) | privacy_need: 5 vs 5 (similarity, 1.00) | routine_structure: 2 vs 2 (similarity, 1.00)"
4,Tenant_004,5,201,Tenant_201,81.67,"cleanliness_level(mode=similarity, score=1.00, w=1.30); noise_tolerance(mode=similarity, score=1.00, w=1.30); privacy_need(mode=similarity, score=1.00, w=1.10)","High compatibility driven by Cleanliness level, Noise tolerance, Privacy need.","Tenant_004 matches well with Tenant_201 (score 81.67%). Top drivers: Cleanliness level, Noise tolerance, Privacy need. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 1 vs 1 (similarity, 1.00) | noise_tolerance: 4 vs 4 (similarity, 1.00) | privacy_need: 5 vs 5 (similarity, 1.00)"
5,Tenant_005,1,167,Tenant_167,83.33,"cleanliness_level(mode=similarity, score=1.00, w=1.30); noise_tolerance(mode=similarity, score=1.00, w=1.30); routine_structure(mode=similarity, score=1.00, w=1.00)","High compatibility driven by Cleanliness level, Noise tolerance, Routine structure.","Tenant_005 matches well with Tenant_167 (score 83.33%). Top drivers: Cleanliness level, Noise tolerance, Routine structure. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","cleanliness_level: 2 vs 2 (similarity, 1.00) | noise_tolerance: 5 vs 5 (similarity, 1.00) | routine_structure: 2 vs 2 (similarity, 1.00)"
5,Tenant_005,2,255,Tenant_255,83.33,"noise_tolerance(mode=similarity, score=1.00, w=1.30); sleep_schedule(mode=similarity, score=1.00, w=1.20); privacy_need(mode=similarity, score=1.00, w=1.10)","High compatibility driven by Noise tolerance, Sleep schedule, Privacy need.","Tenant_005 matches well with Tenant_255 (score 83.33%). Top drivers: Noise tolerance, Sleep schedule, Privacy need. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","noise_tolerance: 5 vs 5 (similarity, 1.00) | sleep_schedule: 2 vs 2 (similarity, 1.00) | privacy_need: 3 vs 3 (similarity, 1.00)"
5,Tenant_005,3,267,Tenant_267,83.1,"noise_tolerance(mode=similarity, score=1.00, w=1.30); sleep_schedule(mode=similarity, score=1.00, w=1.20); sociability_level(mode=complementarity, score=1.00, w=1.00)","High compatibility driven by Noise tolerance, Sleep schedule, Sociability level.","Tenant_005 matches well with Tenant_267 (score 83.10%). Top drivers: Noise tolerance, Sleep schedule, Sociability level. Note: similarity rewards close values, while complementarity rewards balanced pairs (on a 1..5 scale, best when a+b is about 6).","noise_tolerance: 5 vs 5 (similarity, 1.00) | sleep_schedule: 2 vs 2 (similarity, 1.00) | sociability_level: 3 vs 3 (complementarity, 1.00)"
