user_id,tenant_label,cleanliness_level,noise_tolerance,sleep_schedule,routine_structure,WFH_frequency,sociability_level,guest_tolerance,privacy_need,conflict_style,shared_spaces_usage
1,Tenant_001,4,3,1,4,2,1,4,1,4,3
2,Tenant_002,5,5,4,5,4,4,4,4,2,2
3,Tenant_003,5,4,4,4,1,5,4,1,5,4
4,Tenant_004,1,4,4,2,1,1,3,5,1,3
5,Tenant_005,2,5,2,2,4,3,5,3,3,2
6,Tenant_006,2,3,4,4,4,2,5,2,3,5
7,Tenant_007,2,4,3,1,5,5,1,2,1,2
8,Tenant_008,3,5,2,5,3,5,5,4,2,1
9,Tenant_009,4,1,5,2,4,2,1,5,5,4
10,Tenant_010,5,3,5,5,5,2,5,3,4,3
11,Tenant_011,5,4,4,5,1,2,4,4,3,3
12,Tenant_012,3,5,3,2,1,5,4,4,1,1
13,Tenant_013,3,5,4,1,1,5,1,4,5,5
14,Tenant_014,1,2,3,2,1,2,1,4,5,1
15,Tenant_015,1,5,4,1,4,3,1,1,3,4
16,Tenant_016,5,2,4,4,1,4,5,1,4,3
17,Tenant_017,1,2,4,1,1,3,4,5,4,1
18,Tenant_018,2,4,3,2,5,2,4,3,1,4
19,Tenant_019,3,4,1,2,3,5,4,1,3,1
20,Tenant_020,1,5,3,1,3,2,1,2,2,4
21,Tenant_021,4,5,5,2,4,5,1,1,3,1
22,Tenant_022,5,3,3,1,5,5,2,5,2,2
23,Tenant_023,3,1,1,5,4,2,2,2,2,2
24,Tenant_024,3,4,1,3,1,2,5,2,1,3
25,Tenant_025,4,5,3,3,4,2,3,4,2,2
26,Tenant_026,4,3,4,3,2,4,5,1,2,3
27,Tenant_027,1,1,3,3,2,5,4,3,3,1
28,Tenant_028,2,3,5,2,1,5,5,2,5,2
29,Tenant_029,4,4,2,5,5,1,1,5,2,4
30,Tenant_030,1,2,3,3,2,2,1,2,1,2
31,Tenant_031,4,5,5,5,5,2,1,1,5,1
32,Tenant_032,3,2,3,1,1,4,5,2,5,1
33,Tenant_033,4,4,3,3,4,2,5,3,1,2
34,Tenant_034,5,3,4,2,4,4,3,5,5,5
35,Tenant_035,2,2,4,2,5,5,2,3,5,2
36,Tenant_036,4,3,4,1,1,4,5,3,4,2
37,Tenant_037,4,2,3,3,2,4,2,3,5,3
38,Tenant_038,4,3,1,3,4,1,3,1,4,4
39,Tenant_039,3,3,5,2,4,1,5,2,2,3
